;prot_id;satisfaction;wish_to_change;teacher_comments
565;1275;;;Удовлетворние было получено частично, так как работа с сильным учеником была не трудна.  А вот работа со слабоуспевающим обучающимся сопровождалась трудностями. Поэтому необходимо разработать индивидуальный образовательный маршрут для этого ребенка.
431;2608;4.0;2.0;"Я уроком удовлетворена, тк дети отвечали почти все ребята. Много сделали на уроке. Старались проявить себя. Особенно удалась игра ""кто больше назовет""."
1857;1495;;;Удовлетворена. Всегда обращала внимание на степень правильности ответов. Неточности исправляла либо сама, либо предоставляла такую возможность детям. Это заставляло их более внимательно прислушиваться к ответам одноклассников, быть более заинтересованными в процессе урока. Планирую продолжить работу над компетенцией, включать в урок больше индивидуальных заданий для каждого ученика.
996;2406;3.0;2.0;Если продумывают ответ долго, то правильно выстраивают ответы, особенно среднее звено.
1906;2433;4.0;2.0;Уроком удовлетварена. Стараюсь больше хвалить детей, за ответы на уроке. Для себя поставлю цель, что бы дети больше отвечали полными, раскрытыми  предложениями.
2999;3090;4.0;1.0;Уроком удовлетворена, так как старалась, чтобы отвечали и работали дети, так и получилось. Учащиеся были активны. Роль учителя - направлять, руководить, организовать процесс работы с информацией - выполнена. Учащиеся умеют самостоятельно изучать новый материал, роль учителя-делать акценты на отдельных моментах. Сложные случаи-вместе рассматриваем во избежания ошибок.
2726;426;;;Я удовлетворен уроком, менять не нужно  ничего, все ученики были в зоне внимания и активно работали.Моя цель : достичь постоянной включенности учеников на уроке.
990;2391;4.0;2.0;Много было продуктивных вопросов, требующие размышления. Смотрю на результаты в таблице, считаю урок прошел отлично, время на размышление дано согласно способностям ребенка. 
980;2099;;;Не очень удовлетворена уроком. Плохо знают таблицу умножения, поэтому долго думают. Больше давать игровых моментов на запоминания таблицы умножения.
2431;2135;3.0;3.0;Ердякова С.В.: Работой на уроке удовлетворена. Можно сказать, ребята старались работать. В дальнейшем постараюсь задействовать больше обучающихся. Еще поработаем над ответами. 
432;2315;3.0;1.0;Уроком удовлетворена, нужно уделять больше внимания слабым
1995;1391;;;Удовлетворена частично. Обратить большее внимание на слабого ученика. Ответил всего два раза, обратная связь была дана только один раз, после очередного ответа, не получив обратной связи, ученик перестал отвечать, работал только письменно. Сделала для себя вывод, что этот ребёнок нуждается в обратной связи.
2547;2157;4.0;1.0;Опыт с отслеживанием времени ответа каждого ученика интересен. 
2287;2837;4.0;3.0;Хотелось бы улучшить реакцию мишени № 2.Необходимо продумать сглаженные формы критики и замечаний. Находить возможность похвалить ребенка.
44;670;;; 
2255;2354;4.0;2.0;Считаю, что ход урока менять не буду, но  задействую новые приемы в его работе.
895;152;;;Время на размышление было дано достаточно для сильных учеников, для слабых времини давалось чуть больше. Поставленная цель была достигнута, но нуждалась в доработке. 
2681;2910;4.0;; Необходимо продолжить работу по формированию навыка давать развернутый ответ на поставленные вопросы.
1746;2551;3.0;1.0;Урок прошел по плану. Дети работали по своим возможностям.
2580;2453;;;Уроком удовлетворена. Хотя всегда есть над чем поработать.
1490;1828;4.0;1.0;Вопросы детям задавались разноуровнего характера. В основном продуктивные вопросы задавались сильным ученикам, они давали полные, развернутые ответы. Считаю, что ответы сильных ученикиков помогли средним и слабым вспомнить пройденный материал, особенно в начале учебного года. Слабые ученики с трудом справлялись с репродуктивными вопросами. 
762;2005;;;Уроком доволен
442;2399;4.0;1.0;Работой удовлетворена. Изменять ничего не надо, практически все ученики охвачены вниманием учителя, как слабые, так и сильные.
623;2104;;;Активно работали 5 учеников,есть дети с ОВЗ нарушением речи отвечают минимально,7 детей полностью вовлечены в урок, но давали меньше ответов.Применяны различные виды деятельности. Цель-достичь результат в учебном процессе и взаимоотношениях с учениками.
373;1734;4.0;3.0;Уроком удовлетворена. Все обучающиеся были в зоне моего внимания. Работала не только с ребятами, которые поднимали руки, но и с теми, кто отсиживался (это в основном слабые учащиеся). У мишеней повысился интерес к предмету и успеваемость. Цель: мотивировать слабую группу учащихся. Дифференцировано подбирать задания, хвалить даже за маленький успех.
